Class,Code Smells,LOC,Methods,Decisions
lang/java/avro/src/main/java/org/apache/avro/io/ValidatingEncoder.java,5,183,25,3
lang/java/ipc-jetty/src/main/java/org/apache/avro/ipc/jetty/HttpServer.java,5,154,15,5
lang/java/avro/src/main/java/org/apache/avro/message/BinaryMessageDecoder.java,5,163,8,10
lang/java/maven-plugin/src/main/java/org/apache/avro/mojo/IDLMojo.java,5,109,5,6
lang/java/ipc/src/main/java/org/apache/avro/ipc/SocketTransceiver.java,5,113,13,10
lang/java/avro/src/main/java/org/apache/avro/ParseContext.java,4,319,29,16
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificDatumWriter.java,4,105,13,10
lang/java/mapred/src/main/java/org/apache/avro/mapred/DelegatingInputFormat.java,4,107,7,14
lang/java/avro/src/main/java/org/apache/avro/file/CodecFactory.java,4,164,11,3
lang/java/compiler/src/main/java/org/apache/avro/compiler/idl/DocCommentHelper.java,4,123,8,17
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroTextOutputFormat.java,4,113,6,6
lang/java/avro/src/main/java/org/apache/avro/JsonProperties.java,4,308,30,19
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroDatumConverterFactory.java,4,319,43,21
lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java,4,197,22,25
lang/java/tools/src/main/java/org/apache/avro/tool/TetherTool.java,4,126,9,9
lang/java/avro/src/main/java/org/apache/avro/util/springframework/Assert.java,4,114,4,3
lang/java/tools/src/main/java/org/apache/avro/tool/DataFileReadTool.java,4,130,10,10
lang/java/avro/src/main/java/org/apache/avro/util/Schemas.java,4,142,9,27
lang/java/avro/src/main/java/org/apache/avro/io/DecoderFactory.java,4,288,21,6
lang/java/ipc-netty/src/main/java/org/apache/avro/ipc/netty/NettyServer.java,3,163,17,8
lang/java/avro/src/main/java/org/apache/avro/util/WeakIdentityHashMap.java,3,171,24,6
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroMultipleInputs.java,3,203,8,13
lang/java/grpc/src/main/java/org/apache/avro/grpc/AvroResponseMarshaller.java,3,118,9,8
lang/java/ipc/src/main/java/org/apache/avro/ipc/SaslSocketServer.java,3,105,17,1
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroRecordReaderBase.java,3,169,9,4
lang/java/idl/src/main/java/org/apache/avro/idl/IdlFile.java,3,152,16,12
lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileReader.java,3,189,17,9
lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecordBuilder.java,3,249,23,12
lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,3,108,14,7
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroSequenceFileInputFormat.java,2,129,9,6
lang/java/avro/src/main/java/org/apache/avro/SchemaParser.java,2,274,18,6
lang/java/avro/src/main/java/org/apache/avro/io/BinaryEncoder.java,2,153,15,8
lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroOutputFormat.java,2,155,11,11
lang/java/compiler/src/main/java/org/apache/avro/compiler/schema/CloningVisitor.java,2,156,11,26
lang/java/ipc/src/main/java/org/apache/avro/ipc/stats/StatsPlugin.java,2,168,16,22
lang/java/trevni/avro/src/main/java/org/apache/trevni/avro/mapreduce/AvroTrevniRecordWriterBase.java,2,112,5,2
lang/java/trevni/core/src/main/java/org/apache/trevni/ColumnMetaData.java,2,116,14,5
lang/java/avro/src/main/java/org/apache/avro/Conversion.java,2,157,26,33
lang/java/avro/src/main/java/org/apache/avro/file/DeflateCodec.java,1,110,13,5
lang/java/mapred/src/main/java/org/apache/avro/hadoop/io/AvroDeserializer.java,1,125,7,3
lang/java/mapred/src/main/java/org/apache/avro/mapreduce/AvroOutputFormatBase.java,1,112,8,7
lang/java/avro/src/main/java/org/apache/avro/io/DirectBinaryEncoder.java,1,123,11,5
lang/java/avro/src/main/java/org/apache/avro/io/Encoder.java,1,292,24,2
lang/java/avro/src/main/java/org/apache/avro/message/RawMessageEncoder.java,1,106,7,1
lang/java/avro/src/main/java/org/apache/avro/data/TimeConversions.java,1,280,50,2
