Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/generic/GenericArray.java,org/apache/avro/generic/GenericArray.java,28,10,2,7,615,81795,83,37,8,50,37,5,133,37,13,2397,506,239,43.1,6.0324,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/generic/IndexedRecord.java,org/apache/avro/generic/IndexedRecord.java,29,3,2,3,316,10744,32,26,10,2,2,0,34,26,11,1201,457,400,73.3333,7.3745,0,No
AVRO,1.5.3,lang/java/avro/src/main/java/org/apache/avro/AvroTypeException.java,org/apache/avro/AvroTypeException.java,25,8,2,5,615,55965,60,28,7,31,28,3,91,28,11,2389,809,298,46.875,6.1336,0,No
AVRO,1.5.3,lang/java/ipc/src/main/java/org/apache/avro/ipc/trace/SpanStorage.java,org/apache/avro/ipc/trace/SpanStorage.java,50,3,2,3,132,7524,57,46,19,0,0,0,57,46,19,1064,590,354,66.3333,6.357,0,No
AVRO,1.5.3,lang/java/ipc/src/main/java/org/apache/avro/ipc/Callback.java,org/apache/avro/ipc/Callback.java,36,1,1,1,0,0,39,39,39,0,0,0,39,39,39,1145,1145,1145,323,8.7044,0,No
AVRO,1.5.3,lang/java/ipc/src/main/java/org/apache/avro/ipc/RPCPlugin.java,org/apache/avro/ipc/RPCPlugin.java,65,5,2,5,502,46184,84,74,16,8,4,1,92,74,18,1840,504,368,62.2,6.629,0,No
AVRO,1.5.3,lang/java/ipc/src/main/java/org/apache/avro/ipc/Server.java,org/apache/avro/ipc/Server.java,29,4,2,4,448,15680,35,29,8,0,0,0,35,29,8,1768,513,442,72,6.9709,0,No
AVRO,1.5.3,lang/java/ipc/src/main/java/org/apache/avro/ipc/CallFuture.java,org/apache/avro/ipc/CallFuture.java,146,1,1,1,0,0,162,162,162,0,0,0,162,162,162,1145,1145,1145,323,8.7044,0,No
AVRO,1.5.3,lang/java/compiler/src/main/java/org/apache/avro/compiler/specific/SchemaTask.java,org/apache/avro/compiler/specific/SchemaTask.java,27,9,2,6,658,19740,30,30,3,0,0,0,30,30,3,2674,809,297,66.5556,6.0695,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroKeyComparator.java,org/apache/avro/mapred/AvroKeyComparator.java,41,6,2,6,320,28160,69,61,11,19,14,3,88,61,14,1846,618,307,83.8333,6.0561,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileRecordReader.java,org/apache/avro/mapred/SequenceFileRecordReader.java,29,2,2,2,89,3204,36,36,18,0,0,0,36,36,18,980,643,490,83,7.0294,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroKey.java,org/apache/avro/mapred/AvroKey.java,25,3,2,3,218,6104,28,25,9,0,0,0,28,25,9,1658,665,552,145.6667,7.3426,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/tether/TetherInputFormat.java,org/apache/avro/mapred/tether/TetherInputFormat.java,49,2,2,2,183,10614,58,58,29,0,0,0,58,58,29,988,542,494,89,7.7411,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroValue.java,org/apache/avro/mapred/AvroValue.java,25,3,2,3,218,6104,28,25,9,0,0,0,28,25,9,1658,665,552,145.6667,7.3426,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/SequenceFileInputFormat.java,org/apache/avro/mapred/SequenceFileInputFormat.java,37,2,2,2,89,3827,43,43,21,0,0,0,43,43,21,980,643,490,83,7.0294,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroRecordReader.java,org/apache/avro/mapred/AvroRecordReader.java,72,6,2,6,272,34272,107,86,17,19,10,3,126,86,21,1376,502,229,48,5.6562,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroAsTextInputFormat.java,org/apache/avro/mapred/AvroAsTextInputFormat.java,55,1,1,1,0,0,61,61,61,0,0,0,61,61,61,1138,1138,1138,323,8.6857,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroCollector.java,org/apache/avro/mapred/AvroCollector.java,24,2,2,2,147,4116,28,28,14,0,0,0,28,28,14,993,564,496,86.5,7.6171,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroInputFormat.java,org/apache/avro/mapred/AvroInputFormat.java,48,2,2,2,258,14448,56,56,28,0,0,0,56,56,28,975,502,487,89.5,7.7978,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroReducer.java,org/apache/avro/mapred/AvroReducer.java,56,4,2,4,384,57216,107,72,26,42,38,10,149,72,37,1984,810,496,128.5,7.3512,0,No
AVRO,1.5.4,lang/java/mapred/src/main/java/org/apache/avro/mapred/AvroMapper.java,org/apache/avro/mapred/AvroMapper.java,47,4,2,4,384,50304,93,66,23,38,35,9,131,66,32,1984,810,496,128.5,7.3512,0,No
