Project,Release,File,Normalized_File,Size_LOC,NR,NAuth,NFix,Age_in_Days,Weighted_Age,LOC_Added,Max_LOC_Added,Average_LOC_Added,LOC_Deleted,Max_LOC_Deleted,Average_LOC_Deleted,Churn,Max_Churn,Average_Churn,Change_Set_Size,Max_Change_Set_Size,Average_Change_Set_Size,Average_ND,Average_Entropy,NSmells,Buggy
AVRO,1.1.0,src/java/org/apache/avro/reflect/ReflectRequestor.java,org/apache/avro/reflect/ReflectRequestor.java,96,9,1,6,145,43790,208,77,23,94,77,10,302,77,33,893,222,99,18.8889,4.9674,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/ResolvingDecoder.java,org/apache/avro/io/ResolvingDecoder.java,190,3,1,3,32,12352,295,223,98,91,91,30,386,223,128,481,241,160,24.3333,5.4877,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/BinaryDecoder.java,org/apache/avro/io/BinaryDecoder.java,263,4,1,4,56,17640,308,305,77,7,5,1,315,305,78,530,229,132,21.5,5.4161,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/BinaryData.java,org/apache/avro/io/BinaryData.java,181,3,1,3,3,1110,281,190,93,89,88,29,370,190,123,355,305,118,18.3333,4.6074,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/Decoder.java,org/apache/avro/io/Decoder.java,251,5,1,5,56,17248,294,279,58,14,10,2,308,279,61,555,229,111,18.8,5.0892,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/ValidatingEncoder.java,org/apache/avro/io/ValidatingEncoder.java,174,3,1,3,32,13152,307,225,102,104,104,34,411,225,137,481,241,160,24.3333,5.4877,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/ParsingEncoder.java,org/apache/avro/io/ParsingEncoder.java,60,3,1,2,43,3010,70,52,23,0,0,0,70,52,23,460,294,153,24.3333,5.362,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/JsonDecoder.java,org/apache/avro/io/JsonDecoder.java,361,3,1,3,26,11258,416,397,138,17,9,5,433,397,144,402,294,134,20.3333,5.0514,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/BinaryEncoder.java,org/apache/avro/io/BinaryEncoder.java,213,3,1,3,34,9758,269,266,89,18,16,6,287,266,95,475,229,158,23.6667,5.5598,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/BlockingBinaryEncoder.java,org/apache/avro/io/BlockingBinaryEncoder.java,540,4,1,4,74,47508,635,622,158,7,5,1,642,622,160,563,216,140,23.25,5.1494,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/ParsingDecoder.java,org/apache/avro/io/ParsingDecoder.java,66,2,1,2,5,375,75,74,37,0,0,0,75,74,37,360,294,180,24.5,5.2638,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/parsing/Parser.java,org/apache/avro/io/parsing/Parser.java,131,2,1,2,5,745,147,144,73,2,2,1,149,144,74,360,294,180,24.5,5.2638,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/parsing/SkipParser.java,org/apache/avro/io/parsing/SkipParser.java,86,2,1,2,5,495,97,94,48,2,2,1,99,94,49,360,294,180,24.5,5.2638,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,127,3,1,3,26,3666,140,138,46,1,1,0,141,138,47,402,294,134,20.3333,5.0514,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/parsing/Symbol.java,org/apache/avro/io/parsing/Symbol.java,335,2,1,2,5,1915,383,382,191,0,0,0,383,382,191,360,294,180,24.5,5.2638,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,org/apache/avro/io/parsing/JsonGrammarGenerator.java,96,2,1,2,5,515,103,102,51,0,0,0,103,102,51,360,294,180,24.5,5.2638,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,312,3,1,3,26,8840,339,337,113,1,1,0,340,337,113,402,294,134,20.3333,5.0514,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/ValidatingDecoder.java,org/apache/avro/io/ValidatingDecoder.java,200,3,1,3,32,20416,434,358,144,204,204,68,638,358,212,481,241,160,24.3333,5.4877,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/Encoder.java,org/apache/avro/io/Encoder.java,248,3,1,3,34,9622,279,269,93,4,3,1,283,269,94,475,229,158,23.6667,5.5598,0,No
AVRO,1.1.0,src/java/org/apache/avro/io/JsonEncoder.java,org/apache/avro/io/JsonEncoder.java,212,3,1,3,26,6630,248,239,82,7,4,2,255,239,85,402,294,134,20.3333,5.0514,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericContainer.java,org/apache/avro/generic/GenericContainer.java,24,1,1,1,0,0,27,27,27,0,0,0,27,27,27,307,307,307,36,6.7805,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericFixed.java,org/apache/avro/generic/GenericFixed.java,23,2,1,2,67,1742,25,24,12,1,1,0,26,24,13,419,278,209,29.5,6.0364,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericRequestor.java,org/apache/avro/generic/GenericRequestor.java,48,7,1,4,109,22018,130,57,18,72,57,10,202,57,28,825,216,117,21,5.1486,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericData.java,org/apache/avro/generic/GenericData.java,395,13,1,9,147,146559,713,250,54,284,250,21,997,250,76,999,253,76,16.3846,4.5167,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericDatumReader.java,org/apache/avro/generic/GenericDatumReader.java,427,19,1,15,145,256505,1116,265,58,653,265,34,1769,265,93,1103,150,58,13.4211,4.0008,0,No
AVRO,1.1.0,src/java/org/apache/avro/generic/GenericDatumWriter.java,org/apache/avro/generic/GenericDatumWriter.java,167,12,1,9,145,116870,499,164,41,307,164,25,806,164,67,1014,178,84,17.6667,4.7071,0,No
AVRO,1.1.0,src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,org/apache/avro/ipc/ByteBufferOutputStream.java,78,5,1,2,109,29757,182,87,36,91,87,18,273,87,54,761,257,152,24.6,5.7114,0,No
