Dataset,Classifier,Balancing,FeatureSelection,Iteration,Fold,Precision,Recall,AUC,Kappa,NPofB20
AVRO,NaiveBayes,SMOTE,InfoGain,7,7,0.2800,0.6364,0.8332,0.3336,0.5241
AVRO,NaiveBayes,SMOTE,InfoGain,7,8,0.2963,0.7273,0.8728,0.3673,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,7,9,0.2727,0.5455,0.8445,0.3085,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,7,10,0.1852,0.4545,0.8208,0.1947,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,8,1,0.2500,0.4545,0.8555,0.2663,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,8,2,0.1724,0.4545,0.8224,0.1792,0.3394
AVRO,NaiveBayes,SMOTE,InfoGain,8,3,0.1923,0.5000,0.8693,0.2163,0.6000
AVRO,NaiveBayes,SMOTE,InfoGain,8,4,0.2308,0.5455,0.7551,0.2623,0.5250
AVRO,NaiveBayes,SMOTE,InfoGain,8,5,0.2800,0.6364,0.8523,0.3336,0.6232
AVRO,NaiveBayes,SMOTE,InfoGain,8,6,0.2000,0.2727,0.7231,0.1738,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,8,7,0.2000,0.4545,0.7937,0.2124,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,8,8,0.3182,0.6364,0.9154,0.3744,0.5609
AVRO,NaiveBayes,SMOTE,InfoGain,8,9,0.2414,0.6364,0.8760,0.2883,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,8,10,0.3333,0.9091,0.9259,0.4387,0.8182
AVRO,NaiveBayes,SMOTE,InfoGain,9,1,0.2692,0.6364,0.8804,0.3217,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,9,2,0.2500,0.5455,0.8380,0.2845,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,9,3,0.2273,0.5000,0.8994,0.2570,0.6000
AVRO,NaiveBayes,SMOTE,InfoGain,9,4,0.3333,0.6364,0.8833,0.3896,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,9,5,0.2188,0.6364,0.8266,0.2597,0.3580
AVRO,NaiveBayes,SMOTE,InfoGain,9,6,0.2500,0.5455,0.8466,0.2842,0.5249
AVRO,NaiveBayes,SMOTE,InfoGain,9,7,0.2273,0.4545,0.7851,0.2427,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,9,8,0.2917,0.6364,0.8487,0.3464,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,9,9,0.2500,0.5455,0.8565,0.2842,0.7273
AVRO,NaiveBayes,SMOTE,InfoGain,9,10,0.2273,0.4545,0.7588,0.2427,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,10,1,0.2174,0.4545,0.7910,0.2324,0.4508
AVRO,NaiveBayes,SMOTE,InfoGain,10,2,0.2667,0.7273,0.8352,0.3321,0.6364
AVRO,NaiveBayes,SMOTE,InfoGain,10,3,0.2857,0.8000,0.9322,0.3706,0.7588
AVRO,NaiveBayes,SMOTE,InfoGain,10,4,0.2222,0.5455,0.8450,0.2523,0.3442
AVRO,NaiveBayes,SMOTE,InfoGain,10,5,0.2667,0.3636,0.8786,0.2564,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,10,6,0.2500,0.5455,0.8303,0.2842,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,10,7,0.2800,0.6364,0.8765,0.3336,0.5972
AVRO,NaiveBayes,SMOTE,InfoGain,10,8,0.2609,0.5455,0.8558,0.2960,0.5455
AVRO,NaiveBayes,SMOTE,InfoGain,10,9,0.2632,0.4545,0.6971,0.2787,0.4545
AVRO,NaiveBayes,SMOTE,InfoGain,10,10,0.2857,0.7273,0.9191,0.3549,0.7273
AVRO,IBk,None,None,1,1,0.6667,0.7273,0.9833,0.6755,1.0000
AVRO,IBk,None,None,1,2,0.7778,0.6364,0.8318,0.6830,0.6364
AVRO,IBk,None,None,1,3,0.8000,0.8000,0.9885,0.7885,1.0000
AVRO,IBk,None,None,1,4,1.0000,0.3636,0.9682,0.5180,0.9091
AVRO,IBk,None,None,1,5,0.8889,0.7273,0.9522,0.7886,0.9091
AVRO,IBk,None,None,1,6,1.0000,0.6364,0.8812,0.7669,0.6364
AVRO,IBk,None,None,1,7,1.0000,0.5455,0.9272,0.6929,0.6364
AVRO,IBk,None,None,1,8,1.0000,0.7273,0.9861,0.8337,0.9091
AVRO,IBk,None,None,1,9,0.8571,0.5455,0.8279,0.6504,0.6938
AVRO,IBk,None,None,1,10,0.9091,0.9091,0.9879,0.9033,0.9091
AVRO,IBk,None,None,2,1,0.8750,0.6364,0.8783,0.7230,0.7273
AVRO,IBk,None,None,2,2,0.5833,0.6364,0.8608,0.5828,0.7273
AVRO,IBk,None,None,2,3,0.8889,0.8000,0.9853,0.8335,1.0000
AVRO,IBk,None,None,2,4,1.0000,0.6364,0.9598,0.7669,0.8182
AVRO,IBk,None,None,2,5,1.0000,0.5455,0.9438,0.6929,0.9091
AVRO,IBk,None,None,2,6,0.9167,1.0000,0.9995,0.9536,1.0000
AVRO,IBk,None,None,2,7,0.5625,0.8182,0.9396,0.6412,0.9091
AVRO,IBk,None,None,2,8,0.8889,0.7273,0.9485,0.7886,0.8182
AVRO,IBk,None,None,2,9,0.6364,0.6364,0.9624,0.6132,0.9091
AVRO,IBk,None,None,2,10,0.7000,0.6364,0.9425,0.6465,0.8182
AVRO,IBk,None,None,3,1,1.0000,0.8182,0.9175,0.8943,0.9091
AVRO,IBk,None,None,3,2,1.0000,0.6364,0.9057,0.7670,0.7273
AVRO,IBk,None,None,3,3,0.8889,0.8000,0.9704,0.8335,0.9000
AVRO,IBk,None,None,3,4,0.8333,0.4545,0.9782,0.5701,0.8182
AVRO,IBk,None,None,3,5,1.0000,0.6364,0.9351,0.7669,0.9091
AVRO,IBk,None,None,3,6,0.8889,0.7273,0.9603,0.7886,0.9091
AVRO,IBk,None,None,3,7,0.7778,0.6364,0.9685,0.6829,0.9091
AVRO,IBk,None,None,3,8,0.8750,0.6364,0.9913,0.7229,1.0000
AVRO,IBk,None,None,3,9,0.8000,0.7273,0.9756,0.7475,0.8182
AVRO,IBk,None,None,3,10,0.7273,0.7273,0.9522,0.7099,0.8182
AVRO,IBk,None,None,4,1,0.7273,0.7273,0.9624,0.7100,0.9091
AVRO,IBk,None,None,4,2,1.0000,0.8182,0.9579,0.8943,0.9091
AVRO,IBk,None,None,4,3,1.0000,0.5000,0.9727,0.6541,1.0000
AVRO,IBk,None,None,4,4,0.6667,0.3636,0.8671,0.4473,0.4545
AVRO,IBk,None,None,4,5,1.0000,0.6364,0.9601,0.7669,0.9091
AVRO,IBk,None,None,4,6,0.7500,0.8182,0.9953,0.7681,1.0000
AVRO,IBk,None,None,4,7,0.6000,0.5455,0.8873,0.5456,0.6364
AVRO,IBk,None,None,4,8,0.8000,0.7273,0.9913,0.7475,1.0000
AVRO,IBk,None,None,4,9,0.8182,0.8182,0.9519,0.8066,0.9091
AVRO,IBk,None,None,4,10,0.5833,0.6364,0.9853,0.5827,1.0000
AVRO,IBk,None,None,5,1,0.7000,0.6364,0.9676,0.6467,0.8182
AVRO,IBk,None,None,5,2,0.5714,0.7273,0.9822,0.6143,1.0000
AVRO,IBk,None,None,5,3,1.0000,0.6000,0.9583,0.7394,0.9000
AVRO,IBk,None,None,5,4,1.0000,0.5455,0.9527,0.6929,0.8182
AVRO,IBk,None,None,5,5,0.7273,0.7273,0.9054,0.7099,0.7273
AVRO,IBk,None,None,5,6,1.0000,0.7273,0.9829,0.8337,0.9091
AVRO,IBk,None,None,5,7,0.7692,0.9091,0.9787,0.8218,0.9091
AVRO,IBk,None,None,5,8,1.0000,0.7273,0.9677,0.8337,0.9091
AVRO,IBk,None,None,5,9,0.8889,0.7273,0.9172,0.7886,0.7273
AVRO,IBk,None,None,5,10,0.8571,0.5455,0.8211,0.6504,0.7273
AVRO,IBk,None,None,6,1,0.6667,0.3636,0.9585,0.4474,0.9091
AVRO,IBk,None,None,6,2,1.0000,0.8182,0.9950,0.8943,1.0000
AVRO,IBk,None,None,6,3,0.6000,0.3000,0.9040,0.3774,0.8000
AVRO,IBk,None,None,6,4,0.7500,0.5455,0.8663,0.6120,0.6364
AVRO,IBk,None,None,6,5,0.8182,0.8182,0.9585,0.8066,0.8182
AVRO,IBk,None,None,6,6,0.8750,0.6364,0.9430,0.7229,0.7273
AVRO,IBk,None,None,6,7,1.0000,0.8182,0.9932,0.8943,1.0000
AVRO,IBk,None,None,6,8,0.6250,0.4545,0.8358,0.5012,0.5455
AVRO,IBk,None,None,6,9,0.6923,0.8182,0.9238,0.7327,0.9091
AVRO,IBk,None,None,6,10,0.8000,0.7273,0.8605,0.7475,0.8182
AVRO,IBk,None,None,7,1,0.8571,0.5455,0.9867,0.6505,1.0000
AVRO,IBk,None,None,7,2,0.8000,0.7273,0.9595,0.7476,0.7273
AVRO,IBk,None,None,7,3,0.6250,0.5000,0.9497,0.5330,0.9000
AVRO,IBk,None,None,7,4,1.0000,0.5455,0.9067,0.6929,0.7273
AVRO,IBk,None,None,7,5,1.0000,0.9091,0.9895,0.9495,0.9091
AVRO,IBk,None,None,7,6,1.0000,0.7273,0.9225,0.8337,0.7273
AVRO,IBk,None,None,7,7,0.6667,0.5455,0.8773,0.5773,0.8182
AVRO,IBk,None,None,7,8,0.7500,0.8182,0.9593,0.7681,0.9091
AVRO,IBk,None,None,7,9,0.8571,0.5455,0.9795,0.6504,0.9091
AVRO,IBk,None,None,7,10,0.6923,0.8182,0.9806,0.7327,1.0000
AVRO,IBk,None,None,8,1,0.8333,0.4545,0.9185,0.5702,0.7273
AVRO,IBk,None,None,8,2,0.8889,0.7273,0.9875,0.7887,1.0000
AVRO,IBk,None,None,8,3,1.0000,0.6000,0.9736,0.7394,0.9000
AVRO,IBk,None,None,8,4,0.8750,0.6364,0.8226,0.7229,0.7273
AVRO,IBk,None,None,8,5,0.7778,0.6364,0.9561,0.6829,1.0000
AVRO,IBk,None,None,8,6,0.6250,0.4545,0.9356,0.5012,0.6572
AVRO,IBk,None,None,8,7,0.8333,0.9091,0.9330,0.8609,0.9091
AVRO,IBk,None,None,8,8,0.9167,1.0000,0.9995,0.9536,1.0000
AVRO,IBk,None,None,8,9,0.7500,0.8182,0.9871,0.7681,0.9091
AVRO,IBk,None,None,8,10,0.8333,0.9091,0.9953,0.8609,1.0000
AVRO,IBk,None,None,9,1,1.0000,0.6364,0.8725,0.7670,0.7273
AVRO,IBk,None,None,9,2,0.8750,0.6364,0.9444,0.7230,0.6542
AVRO,IBk,None,None,9,3,0.6923,0.9000,0.9928,0.7684,1.0000
AVRO,IBk,None,None,9,4,1.0000,0.7273,0.9942,0.8337,1.0000
AVRO,IBk,None,None,9,5,0.7273,0.7273,0.9509,0.7099,0.8182
AVRO,IBk,None,None,9,6,0.6250,0.4545,0.8865,0.5012,0.8182
AVRO,IBk,None,None,9,7,1.0000,0.6364,0.9472,0.7669,0.8182
AVRO,IBk,None,None,9,8,0.7778,0.6364,0.8933,0.6829,0.7273
AVRO,IBk,None,None,9,9,0.7143,0.9091,0.9863,0.7856,1.0000
AVRO,IBk,None,None,9,10,0.8750,0.6364,0.9425,0.7229,0.8182
AVRO,IBk,None,None,10,1,1.0000,0.6364,0.9817,0.7670,0.9091
AVRO,IBk,None,None,10,2,0.8182,0.8182,0.9428,0.8067,0.9091
AVRO,IBk,None,None,10,3,1.0000,0.9000,0.9848,0.9445,0.9000
AVRO,IBk,None,None,10,4,0.5714,0.7273,0.9561,0.6142,0.8182
AVRO,IBk,None,None,10,5,1.0000,0.5455,0.8615,0.6929,0.6364
AVRO,IBk,None,None,10,6,0.8889,0.7273,0.9779,0.7886,0.9091
AVRO,IBk,None,None,10,7,0.7500,0.5455,0.9535,0.6120,0.8182
AVRO,IBk,None,None,10,8,1.0000,0.6364,0.8946,0.7669,0.7273
AVRO,IBk,None,None,10,9,0.8750,0.6364,0.9054,0.7229,0.8182
AVRO,IBk,None,None,10,10,0.8182,0.8182,0.9532,0.8066,0.9091
AVRO,IBk,Undersampling,None,1,1,0.2157,1.0000,0.9138,0.2849,0.7273
AVRO,IBk,Undersampling,None,1,2,0.2286,0.7273,0.7847,0.2829,0.4545
AVRO,IBk,Undersampling,None,1,3,0.2128,1.0000,0.9385,0.2870,0.5000
AVRO,IBk,Undersampling,None,1,4,0.2250,0.8182,0.7824,0.2860,0.8023
AVRO,IBk,Undersampling,None,1,5,0.1964,1.0000,0.8621,0.2538,0.8182
AVRO,IBk,Undersampling,None,1,6,0.2432,0.8182,0.8316,0.3115,0.5455
AVRO,IBk,Undersampling,None,1,7,0.2115,1.0000,0.8547,0.2779,0.4545
AVRO,IBk,Undersampling,None,1,8,0.3226,0.9091,0.9159,0.4255,0.8182
AVRO,IBk,Undersampling,None,1,9,0.2903,0.8182,0.8558,0.3733,0.8182
AVRO,IBk,Undersampling,None,1,10,0.2273,0.9091,0.9002,0.2963,0.6364
AVRO,IBk,Undersampling,None,2,1,0.2632,0.9091,0.8932,0.3480,0.8182
AVRO,IBk,Undersampling,None,2,2,0.1667,0.8182,0.8182,0.1977,0.3636
AVRO,IBk,Undersampling,None,2,3,0.1852,1.0000,0.9152,0.2431,0.7000
AVRO,IBk,Undersampling,None,2,4,0.2143,0.8182,0.8192,0.2705,0.6364
AVRO,IBk,Undersampling,None,2,5,0.2200,1.0000,0.8844,0.2912,0.7309
AVRO,IBk,Undersampling,None,2,6,0.2292,1.0000,0.9532,0.3053,0.8960
AVRO,IBk,Undersampling,None,2,7,0.2037,1.0000,0.9217,0.2655,0.9091
AVRO,IBk,Undersampling,None,2,8,0.2326,0.9091,0.8783,0.3041,0.6427
AVRO,IBk,Undersampling,None,2,9,0.2439,0.9091,0.8684,0.3206,0.9091
AVRO,IBk,Undersampling,None,2,10,0.2143,0.8182,0.8350,0.2705,0.7270
AVRO,IBk,Undersampling,None,3,1,0.2564,0.9091,0.8976,0.3387,0.8338
AVRO,IBk,Undersampling,None,3,2,0.1957,0.8182,0.8406,0.2432,0.8182
AVRO,IBk,Undersampling,None,3,3,0.1765,0.9000,0.8638,0.2246,0.8000
AVRO,IBk,Undersampling,None,3,4,0.2083,0.9091,0.8563,0.2678,0.5455
AVRO,IBk,Undersampling,None,3,5,0.2000,0.8182,0.8279,0.2493,0.5455
AVRO,IBk,Undersampling,None,3,6,0.2041,0.9091,0.8571,0.2612,0.6364
AVRO,IBk,Undersampling,None,3,7,0.2041,0.9091,0.8678,0.2612,0.5455
AVRO,IBk,Undersampling,None,3,8,0.2564,0.9091,0.9109,0.3383,0.5455
AVRO,IBk,Undersampling,None,3,9,0.2128,0.9091,0.8628,0.2745,0.4728
AVRO,IBk,Undersampling,None,3,10,0.2564,0.9091,0.9036,0.3383,0.7273
AVRO,IBk,Undersampling,None,4,1,0.2683,1.0000,0.9577,0.3634,0.7898
AVRO,IBk,Undersampling,None,4,2,0.2174,0.9091,0.8830,0.2820,0.3636
AVRO,IBk,Undersampling,None,4,3,0.1905,0.8000,0.8057,0.2411,0.8000
AVRO,IBk,Undersampling,None,4,4,0.2667,0.7273,0.8011,0.3318,0.7273
AVRO,IBk,Undersampling,None,4,5,0.2326,0.9091,0.8975,0.3041,0.8758
AVRO,IBk,Undersampling,None,4,6,0.1897,1.0000,0.9154,0.2427,0.5455
AVRO,IBk,Undersampling,None,4,7,0.1957,0.8182,0.8079,0.2427,0.5455
AVRO,IBk,Undersampling,None,4,8,0.2444,1.0000,0.9159,0.3283,0.9091
AVRO,IBk,Undersampling,None,4,9,0.2273,0.9091,0.8978,0.2963,0.7518
AVRO,IBk,Undersampling,None,4,10,0.2973,1.0000,0.9367,0.4033,0.5455
AVRO,IBk,Undersampling,None,5,1,0.2037,1.0000,0.9206,0.2659,0.6364
AVRO,IBk,Undersampling,None,5,2,0.2115,1.0000,0.9201,0.2784,0.8182
AVRO,IBk,Undersampling,None,5,3,0.2083,1.0000,0.9221,0.2801,0.7000
AVRO,IBk,Undersampling,None,5,4,0.1923,0.9091,0.8615,0.2427,0.8182
AVRO,IBk,Undersampling,None,5,5,0.1754,0.9091,0.8671,0.2155,0.6364
AVRO,IBk,Undersampling,None,5,6,0.2157,1.0000,0.8899,0.2845,0.6364
AVRO,IBk,Undersampling,None,5,7,0.2174,0.9091,0.8702,0.2816,0.6896
AVRO,IBk,Undersampling,None,5,8,0.2273,0.9091,0.8720,0.2963,0.5455
AVRO,IBk,Undersampling,None,5,9,0.2368,0.8182,0.8263,0.3027,0.6364
AVRO,IBk,Undersampling,None,5,10,0.1778,0.7273,0.7659,0.2098,0.4545
AVRO,IBk,Undersampling,None,6,1,0.3143,1.0000,0.9517,0.4264,0.9091
AVRO,IBk,Undersampling,None,6,2,0.2128,0.9091,0.8691,0.2750,0.4545
AVRO,IBk,Undersampling,None,6,3,0.2000,0.7000,0.8083,0.2475,0.7000
AVRO,IBk,Undersampling,None,6,4,0.1475,0.8182,0.7814,0.1655,0.4863
AVRO,IBk,Undersampling,None,6,5,0.2500,1.0000,0.8988,0.3365,0.6714
AVRO,IBk,Undersampling,None,6,6,0.1915,0.8182,0.8416,0.2364,0.3973
AVRO,IBk,Undersampling,None,6,7,0.2444,1.0000,0.9280,0.3283,0.8182
AVRO,IBk,Undersampling,None,6,8,0.2500,0.9091,0.8705,0.3293,0.9091
AVRO,IBk,Undersampling,None,6,9,0.1852,0.9091,0.8563,0.2313,0.5455
AVRO,IBk,Undersampling,None,6,10,0.1915,0.8182,0.8360,0.2364,0.4545
AVRO,IBk,Undersampling,None,7,1,0.2619,1.0000,0.9303,0.3542,0.8567
AVRO,IBk,Undersampling,None,7,2,0.2000,0.8182,0.8101,0.2497,0.5455
AVRO,IBk,Undersampling,None,7,3,0.2195,0.9000,0.8997,0.2910,0.7248
AVRO,IBk,Undersampling,None,7,4,0.2105,0.7273,0.7317,0.2577,0.6364
AVRO,IBk,Undersampling,None,7,5,0.3333,1.0000,0.9351,0.4507,0.6364
AVRO,IBk,Undersampling,None,7,6,0.2326,0.9091,0.8439,0.3041,0.7273
AVRO,IBk,Undersampling,None,7,7,0.2500,0.9091,0.9007,0.3293,0.5594
AVRO,IBk,Undersampling,None,7,8,0.2619,1.0000,0.9191,0.3539,0.8182
AVRO,IBk,Undersampling,None,7,9,0.1786,0.9091,0.8505,0.2206,0.6364
AVRO,IBk,Undersampling,None,7,10,0.2444,1.0000,0.8949,0.3283,0.9091
AVRO,IBk,Undersampling,None,8,1,0.2045,0.8182,0.8459,0.2565,0.6794
AVRO,IBk,Undersampling,None,8,2,0.3226,0.9091,0.9493,0.4258,0.8671
AVRO,IBk,Undersampling,None,8,3,0.2195,0.9000,0.8681,0.2910,0.7000
AVRO,IBk,Undersampling,None,8,4,0.1957,0.8182,0.8274,0.2427,0.4545
AVRO,IBk,Undersampling,None,8,5,0.2368,0.8182,0.8405,0.3027,0.6364
AVRO,IBk,Undersampling,None,8,6,0.2564,0.9091,0.8899,0.3383,0.8182
AVRO,IBk,Undersampling,None,8,7,0.2703,0.9091,0.8715,0.3574,0.7273
AVRO,IBk,Undersampling,None,8,8,0.2391,1.0000,0.9162,0.3204,0.7273
AVRO,IBk,Undersampling,None,8,9,0.2292,1.0000,0.9117,0.3053,0.7273
AVRO,IBk,Undersampling,None,8,10,0.2292,1.0000,0.9235,0.3053,0.8182
AVRO,IBk,Undersampling,None,9,1,0.1923,0.9091,0.8339,0.2432,0.6364
AVRO,IBk,Undersampling,None,9,2,0.2391,1.0000,0.9297,0.3208,0.7273
AVRO,IBk,Undersampling,None,9,3,0.2273,1.0000,0.8899,0.3092,0.8000
AVRO,IBk,Undersampling,None,9,4,0.1774,1.0000,0.8747,0.2224,0.7273
AVRO,IBk,Undersampling,None,9,5,0.2174,0.9091,0.8442,0.2816,0.5123
AVRO,IBk,Undersampling,None,9,6,0.2308,0.8182,0.8360,0.2942,0.6640
AVRO,IBk,Undersampling,None,9,7,0.2439,0.9091,0.8692,0.3206,0.9091
AVRO,IBk,Undersampling,None,9,8,0.2308,0.8182,0.8460,0.2942,0.7172
AVRO,IBk,Undersampling,None,9,9,0.2128,0.9091,0.8826,0.2745,0.8182
AVRO,IBk,Undersampling,None,9,10,0.2500,0.9091,0.8455,0.3293,0.6364
AVRO,IBk,Undersampling,None,10,1,0.2000,0.9091,0.8657,0.2553,0.6364
AVRO,IBk,Undersampling,None,10,2,0.1786,0.9091,0.8399,0.2211,0.4545
AVRO,IBk,Undersampling,None,10,3,0.2195,0.9000,0.8615,0.2910,0.6000
AVRO,IBk,Undersampling,None,10,4,0.2391,1.0000,0.9380,0.3204,0.7273
AVRO,IBk,Undersampling,None,10,5,0.2059,0.6364,0.7507,0.2427,0.6364
AVRO,IBk,Undersampling,None,10,6,0.2500,1.0000,0.9256,0.3365,0.8344
AVRO,IBk,Undersampling,None,10,7,0.3235,1.0000,0.9614,0.4381,0.8182
AVRO,IBk,Undersampling,None,10,8,0.1875,0.8182,0.8248,0.2302,0.7273
AVRO,IBk,Undersampling,None,10,9,0.2500,0.8182,0.8171,0.3208,0.7858
AVRO,IBk,Undersampling,None,10,10,0.1964,1.0000,0.8789,0.2538,0.6364
AVRO,IBk,Oversampling,None,1,1,0.5263,0.9091,0.9757,0.6395,0.9860
AVRO,IBk,Oversampling,None,1,2,0.7000,0.6364,0.9028,0.6467,0.7273
AVRO,IBk,Oversampling,None,1,3,0.6250,1.0000,0.9914,0.7527,1.0000
AVRO,IBk,Oversampling,None,1,4,0.6667,0.5455,0.8489,0.5773,0.6364
AVRO,IBk,Oversampling,None,1,5,0.7143,0.9091,0.9677,0.7856,0.9091
AVRO,IBk,Oversampling,None,1,6,0.7273,0.7273,0.9241,0.7099,0.7273
AVRO,IBk,Oversampling,None,1,7,0.8333,0.9091,0.9157,0.8609,0.9091
AVRO,IBk,Oversampling,None,1,8,0.9091,0.9091,0.9708,0.9033,0.9091
AVRO,IBk,Oversampling,None,1,9,0.5833,0.6364,0.8011,0.5827,0.7273
AVRO,IBk,Oversampling,None,1,10,0.4348,0.9091,0.9493,0.5520,0.9091
AVRO,IBk,Oversampling,None,2,1,0.6154,0.7273,0.9219,0.6437,0.7273
AVRO,IBk,Oversampling,None,2,2,0.4118,0.6364,0.8939,0.4611,0.7273
AVRO,IBk,Oversampling,None,2,3,0.7500,0.9000,0.9629,0.8067,0.9000
AVRO,IBk,Oversampling,None,2,4,0.8182,0.8182,0.8988,0.8066,0.9091
AVRO,IBk,Oversampling,None,2,5,0.7143,0.9091,0.9606,0.7856,0.9091
AVRO,IBk,Oversampling,None,2,6,0.6471,1.0000,0.9953,0.7689,1.0000
AVRO,IBk,Oversampling,None,2,7,0.5263,0.9091,0.9143,0.6394,0.9091
AVRO,IBk,Oversampling,None,2,8,0.6154,0.7273,0.8720,0.6436,0.7273
AVRO,IBk,Oversampling,None,2,9,0.7273,0.7273,0.9167,0.7099,0.8182
AVRO,IBk,Oversampling,None,2,10,1.0000,0.7273,0.9467,0.8337,0.7273
AVRO,IBk,Oversampling,None,3,1,0.7692,0.9091,0.9522,0.8219,0.9091
AVRO,IBk,Oversampling,None,3,2,0.9000,0.8182,0.9271,0.8486,0.9091
AVRO,IBk,Oversampling,None,3,3,0.6923,0.9000,0.9865,0.7684,0.9000
AVRO,IBk,Oversampling,None,3,4,0.5333,0.7273,0.9585,0.5869,0.7273
AVRO,IBk,Oversampling,None,3,5,0.6154,0.7273,0.9049,0.6436,0.7273
AVRO,IBk,Oversampling,None,3,6,0.7143,0.9091,0.9632,0.7856,0.9091
AVRO,IBk,Oversampling,None,3,7,0.6667,0.9091,0.9527,0.7521,0.9091
AVRO,IBk,Oversampling,None,3,8,0.9091,0.9091,0.9908,0.9033,0.9091
AVRO,IBk,Oversampling,None,3,9,0.6923,0.8182,0.9527,0.7327,0.9091
AVRO,IBk,Oversampling,None,3,10,0.6429,0.8182,0.9719,0.6999,0.8182
AVRO,IBk,Oversampling,None,4,1,0.7692,0.9091,0.9412,0.8219,0.9091
AVRO,IBk,Oversampling,None,4,2,0.6250,0.9091,0.9781,0.7211,0.9547
AVRO,IBk,Oversampling,None,4,3,0.6667,0.6000,0.8937,0.6116,0.7000
AVRO,IBk,Oversampling,None,4,4,0.7500,0.5455,0.7727,0.6120,0.5455
AVRO,IBk,Oversampling,None,4,5,0.7500,0.8182,0.9432,0.7681,0.8182
AVRO,IBk,Oversampling,None,4,6,0.6111,1.0000,0.9903,0.7393,1.0000
AVRO,IBk,Oversampling,None,4,7,0.5385,0.6364,0.8337,0.5545,0.7273
AVRO,IBk,Oversampling,None,4,8,0.6667,0.9091,0.9800,0.7521,0.9091
AVRO,IBk,Oversampling,None,4,9,0.5000,0.7273,0.9475,0.5615,1.0000
AVRO,IBk,Oversampling,None,4,10,0.6471,1.0000,0.9908,0.7689,1.0000
AVRO,IBk,Oversampling,None,5,1,1.0000,0.9091,0.9700,0.9495,0.9091
AVRO,IBk,Oversampling,None,5,2,0.6471,1.0000,0.9937,0.7690,1.0000
AVRO,IBk,Oversampling,None,5,3,0.7273,0.8000,0.9523,0.7475,0.8000
AVRO,IBk,Oversampling,None,5,4,0.9000,0.8182,0.9677,0.8485,0.9091
AVRO,IBk,Oversampling,None,5,5,0.4706,0.7273,0.8823,0.5379,0.7273
AVRO,IBk,Oversampling,None,5,6,0.6667,0.9091,0.9813,0.7521,0.9091
AVRO,IBk,Oversampling,None,5,7,0.6250,0.9091,0.9104,0.7210,0.9091
AVRO,IBk,Oversampling,None,5,8,0.7273,0.7273,0.9351,0.7099,0.7273
AVRO,IBk,Oversampling,None,5,9,0.6000,0.8182,0.9065,0.6695,0.8182
AVRO,IBk,Oversampling,None,5,10,0.6154,0.7273,0.8418,0.6436,0.7273
AVRO,IBk,Oversampling,None,6,1,0.8889,0.7273,0.8621,0.7887,0.7273
AVRO,IBk,Oversampling,None,6,2,0.6667,0.9091,0.9535,0.7522,0.9091
AVRO,IBk,Oversampling,None,6,3,0.6000,0.6000,0.8816,0.5770,0.6000
AVRO,IBk,Oversampling,None,6,4,0.7500,0.8182,0.9756,0.7681,0.9091
AVRO,IBk,Oversampling,None,6,5,0.7500,0.8182,0.8718,0.7681,0.8182
AVRO,IBk,Oversampling,None,6,6,0.4444,0.7273,0.9002,0.5158,0.7273
AVRO,IBk,Oversampling,None,6,7,0.7143,0.9091,0.9745,0.7856,0.9091
AVRO,IBk,Oversampling,None,6,8,0.5833,0.6364,0.7767,0.5827,0.6364
AVRO,IBk,Oversampling,None,6,9,0.5556,0.9091,0.9138,0.6648,0.9091
AVRO,IBk,Oversampling,None,6,10,0.6000,0.8182,0.9377,0.6695,0.8182
AVRO,IBk,Oversampling,None,7,1,0.8333,0.9091,0.9851,0.8609,0.9091
AVRO,IBk,Oversampling,None,7,2,0.5714,0.7273,0.8986,0.6143,0.7273
AVRO,IBk,Oversampling,None,7,3,0.6667,0.8000,0.9644,0.7101,0.8000
AVRO,IBk,Oversampling,None,7,4,0.5714,0.7273,0.8857,0.6142,0.8182
AVRO,IBk,Oversampling,None,7,5,0.7692,0.9091,0.9800,0.8218,0.9091
AVRO,IBk,Oversampling,None,7,6,0.5714,0.7273,0.8875,0.6142,0.7273
AVRO,IBk,Oversampling,None,7,7,0.6000,0.8182,0.8770,0.6695,0.8182
AVRO,IBk,Oversampling,None,7,8,0.4737,0.8182,0.8870,0.5672,0.8182
AVRO,IBk,Oversampling,None,7,9,0.6000,0.8182,0.9115,0.6695,0.9091
AVRO,IBk,Oversampling,None,7,10,0.7143,0.9091,0.9779,0.7856,1.0000
AVRO,IBk,Oversampling,None,8,1,0.5000,0.7273,0.8984,0.5617,0.7273
